Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
2008 ERA-NET Plant Genomics BY;University of Helsinki;Investigating the role of short RNAs on wood formation, cambium development and adaptation of poplar tree;Helariutta, Yrjö;129941;16.12.2008;01.01.2009 - 31.12.2012;245.380
2008 ERA-NET Plant Genomics BY;University of Helsinki;Plant Receptor-like Kinases in ROS Signaling;Kangasjärvi, Jaakko;129940;16.12.2008;01.01.2009 - 31.12.2011;250.300
2008 ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Helsinki;Popular and street level bureaucrats' attitudes to welfare policies;Blomberg, Helena Kaarina;129153;28.03.2008;01.01.2009 - 31.12.2012;180.010
2008 ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Tampere -2018;Logic for Interaction;Hella, Lauri;129208;25.04.2008;01.05.2008 - 31.12.2010;138.740
2008 ESF-hankeyhteistyö  humanistisilla ja yhteiskuntatieteellisillä aloilla KY;University of Turku;Towards voting methods based on richer information about voter opinions;Nurmi, Hannu Juhani;129147;28.03.2008;01.08.2008 - 31.12.2011;135.050
AP-viroista AP-tehtäviin siirtyvät BY;University of Eastern Finland;Ecotoxicology of natural organic material (nom) in aquatic systems: characterization and effects on contaminants and organisms;Kukkonen, Jussi;218346;05.01.2010;01.01.2010 - 31.07.2010;80.000
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Evolutionary Genetics of Adaptation in the Wild;Merilä, Juha;218343;05.01.2010;01.01.2010 - 31.07.2011;217.110
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Growth control and cancer;Taipale, Jussi;218350;05.01.2010;01.01.2010 - 31.12.2012;143.939
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Integrating development and evolution at multiple levels;Jernvall, Jukka;218342;05.01.2010;01.01.2010 - 31.12.2014;599.800
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Metapopulaatiobiologia;Hanski, Ilkka A;218008;05.01.2010;01.01.2010 - 31.07.2011;217.110
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Molecular mechanisms of resistance to potyviruses;Valkonen, Jari;218345;05.01.2010;01.01.2010 - 31.07.2011;217.090
AP-viroista AP-tehtäviin siirtyvät BY;University of Helsinki;Research on cyanobacteria and their bioactive compounds;Sivonen, Kaarina;218344;05.01.2010;01.01.2010 - 31.07.2010;79.980
