x,y
1,40
2,11
3,18.5
4,-1
5,8
6,-13
7,10.5
8,3.5
9,3.5
10,-2
11,1
12,19.5
13,25.5
14,-24.5
15,8
16,9.5
17,-37.5
18,-88
19,19.5
20,5
21,9
22,5.5
23,-13
24,-16.5
25,-17
26,38
27,14.5
28,34.5
29,23
30,38.5
31,19.5
32,1
33,-0.5
34,1
35,8.5
36,-35.5
37,-18
38,13.5
39,68
40,-5.5
41,48
42,30.5
43,2.5
44,46
45,-18.5
46,-17.5
47,-2
48,35
49,18.5
50,7
51,-9.5
52,31.5
53,11.5
54,-10
55,-9
56,22
57,2.5
58,5.5
59,5.5
60,18
61,-5
62,9
63,-89.5
64,54.5
65,-34
66,-15
67,-19
68,-79
69,18.5
70,-12.5
71,28.5
72,22
73,30.5
74,52
75,89.5
76,79
77,98
78,71
79,44
80,28
81,5.5
82,-16
83,-54.5
84,-76
85,-49.5
86,-73
87,-62
88,-120
89,-21.5
90,-26
91,-52.5
92,-32.5
93,-36
94,3
95,-38
96,-42
97,-8.5
98,-4.5
99,-7.5
100,14.5
101,-13.5
102,104
103,60
104,36
105,11
106,-3
107,-7
108,-18.5
109,-64.5
110,-106.5
111,-104
112,-76
113,-134
114,-82.5
115,-62
116,-15
117,-21
118,-33
119,-17
120,-40
121,-54.5
122,-88.5
123,-87.5
124,-137.5
125,-106.5
126,-180.5
127,-92.5
128,-69.5
129,-12.5
130,20
131,42
132,86.5
133,95.5
134,141.5
135,143
136,182.5
137,167
138,138.5
139,6.5
140,51
141,19
142,51.5
143,-10
144,30
145,29
146,29.5
147,1.5
148,-20.5
149,-14.5
150,-3.5
151,-24.5
152,-18
153,-9
154,2.5
155,23.5
156,-3
157,45.5
158,80.5
159,51.5
160,-28.5
161,-13
162,-23
163,103.5
164,69
165,27.5
166,53.5
167,75
168,40.5
169,15
170,70.5
171,100.5
172,88.5
173,84
174,44.5
175,50
176,54
177,17.5
178,-18
179,-53.5
180,-71.5
181,-124.5
182,-187
183,-142
184,-99
185,33.5
186,-71.5
187,-56
188,-112
189,-2.5
190,-75
191,-55
192,-79.5
193,-25
194,-31
195,-5
196,27.5
197,43.5
198,59.5
199,33
200,14
201,8
202,-2
203,-6
204,10.5
205,3.5
206,34
207,-40
208,-12.5
209,-137
210,-50.5
211,-56
212,-44.5
213,-41.5
214,-10.5
215,-49.5
216,-9.5
217,-37.5
218,-73.5
219,-106.5
220,-115.5
221,-123
222,-106
223,-73.5
224,-61.5
225,-16.5
226,14
227,55
228,67
229,97.5
230,138
231,233
232,109.5
233,136.5
234,126
235,110.5
236,160
237,51
238,56
239,82
240,32
