x,y
1,286
2,178
3,188
4,135
5,35
6,11
7,10
8,26
9,36
10,125
11,139
12,225
13,188
14,219
15,449
16,284
17,288
18,471
19,408
20,384
21,511
22,481
23,788
24,406
25,353
26,431
27,212
28,97
29,57
30,28
31,20
32,22
33,42
34,147
35,126
36,160
37,222
38,344
39,298
40,579
41,481
42,352
43,630
44,505
45,517
46,578
47,402
48,395
49,447
50,497
51,318
52,444
53,158
54,82
55,52
56,49
57,12
58,106
59,45
60,156
61,95
62,276
63,361
64,231
65,445
66,537
67,461
68,287
69,417
70,594
71,615
72,69
73,487
74,105
75,331
76,419
77,201
78,68
79,32
80,17
81,19
82,100
83,99
84,230
85,207
86,204
87,237
88,267
89,386
90,423
91,465
92,694
93,604
94,732
95,610
96,644
97,546
98,386
99,190
100,562
101,464
102,438
103,177
104,94
105,65
106,53
107,179
108,570
109,194
110,823
111,746
112,838
113,719
114,495
115,537
116,600
117,1151
118,833
119,841
120,809
121,621
122,386
123,503
124,506
125,315
126,580
127,203
128,134
129,72
130,23
131,78
132,111
133,319
134,453
135,448
136,325
137,361
138,616
139,642
140,550
141,492
142,473
143,557
144,359
145,474
146,166
147,126
148,48
149,40
150,38
151,27
152,47
153,97
154,152
155,284
156,579
157,429
158,388
159,640
160,498
161,408
162,552
163,446
164,460
165,437
166,620
167,688
168,689
169,522
170,191
171,153
172,118
173,106
174,39
175,21
176,36
177,36
178,134
179,221
180,351
181,141
182,347
183,395
184,481
185,567
186,428
187,331
188,421
189,560
190,565
191,432
192,485
193,386
194,452
195,234
196,100
197,69
198,54
199,43
200,38
201,47
202,120
203,167
204,236
205,184
206,273
207,378
208,409
209,472
210,480
211,492
212,529
213,668
214,619
215,294
216,388
217,214
218,414
219,238
220,175
221,91
222,49
223,32
224,44
225,41
226,166
227,108
228,401
229,177
230,301
231,155
232,440
233,848
234,975
235,450
236,505
237,669
238,576
239,355
240,477
