datetime	c73159	c73160	c73163	c73164	c73165	c73166	c73167	c73168	c73169	c73170
2018-07-23 21:00:00	286	236	45	74	178	281	372	392	262	221
2018-07-23 22:00:00	178	357	31	40	274	313	366	386	65	121
2018-07-23 23:00:00	188	177	17	29	253	295	229	197	68	87
2018-07-24 00:00:00	135	98	11	32	102	83	193	194	44	82
2018-07-24 01:00:00	35	41	9	31	83	102	144	120	30	38
2018-07-24 02:00:00	11	22	6	47	25	37	36	52	15	25
2018-07-24 03:00:00	10	31	9	3	28	17	41	21	4	11
2018-07-24 04:00:00	26	27	15	19	20	16	16	36	9	13
2018-07-24 05:00:00	36	62	8	7	43	35	59	82	30	27
2018-07-24 06:00:00	125	110	21	17	104	88	239	433	106	90
2018-07-24 07:00:00	139	180	45	54	185	290	541	535	228	198
2018-07-24 08:00:00	225	295	89	130	584	467	508	592	277	203
2018-07-24 09:00:00	188	156	146	164	445	522	565	458	433	232
2018-07-24 10:00:00	219	226	206	242	690	575	797	812	546	406
2018-07-24 11:00:00	449	375	254	259	877	942	964	1020	733	636
2018-07-24 12:00:00	284	435	256	205	766	931	1162	916	725	582
2018-07-24 13:00:00	288	443	296	244	676	1021	1088	980	788	575
2018-07-24 14:00:00	471	295	304	314	703	1067	1097	1054	730	496
2018-07-24 15:00:00	408	307	265	244	788	943	1067	1045	707	711
2018-07-24 16:00:00	384	321	266	197	595	1134	1310	988	632	542
2018-07-24 17:00:00	511	440	218	140	801	1010	1281	1135	644	483
2018-07-24 18:00:00	481	602	179	172	831	1057	1022	1003	427	343
2018-07-24 19:00:00	788	113	176	157	1056	1046	755	751	450	371
2018-07-24 20:00:00	406	88	154	127	1226	1196	660	579	333	391
2018-07-24 21:00:00	353	286	94	105	299	375	335	317	222	251
2018-07-24 22:00:00	431	420	45	48	324	303	234	239	118	153
2018-07-24 23:00:00	212	209	23	60	242	222	239	238	76	73
2018-07-25 00:00:00	97	137	18	23	134	116	106	95	42	74
2018-07-25 01:00:00	57	39	10	46	139	176	113	123	25	54
2018-07-25 02:00:00	28	45	13	14	32	80	37	36	19	30
2018-07-25 03:00:00	20	30	9	24	36	20	7	22	4	11
2018-07-25 04:00:00	22	33	32	9	13	24	11	31	16	18
2018-07-25 05:00:00	42	43	18	4	47	59	80	85	32	25
2018-07-25 06:00:00	147	171	20	14	84	108	445	407	97	54
2018-07-25 07:00:00	126	164	46	55	235	219	565	639	246	169
2018-07-25 08:00:00	160	237	118	140	500	553	457	450	292	195
