Year,m,d,Time,Time zone,Maximum temperature (degC),Minimum temperature (degC)
2019,3,1,00:00,UTC,-3.7,-12.6
2019,3,2,00:00,UTC,-0.3,-7
2019,3,3,00:00,UTC,-6.7,-14.6
2019,3,4,00:00,UTC,-6.2,-15.5
2019,3,5,00:00,UTC,-7.4,-12.5
2019,3,6,00:00,UTC,-4.2,-20.1
2019,3,7,00:00,UTC,-0.2,-10.6
2019,3,8,00:00,UTC,4.5,-1.2
2019,3,9,00:00,UTC,2.5,-5.6
2019,3,10,00:00,UTC,-2.2,-10
2019,3,11,00:00,UTC,-3.1,-14.7
2019,3,12,00:00,UTC,-2.1,-12.5
2019,3,13,00:00,UTC,-1.9,-17.6
2019,3,14,00:00,UTC,-0.1,-4.2
2019,3,15,00:00,UTC,1.8,-1.2
2019,3,16,00:00,UTC,1.2,0.4
2019,3,17,00:00,UTC,1.7,0.2
2019,3,18,00:00,UTC,3.8,0.1
2019,3,19,00:00,UTC,2.6,0.3
2019,3,20,00:00,UTC,1.3,-1.5
2019,3,21,00:00,UTC,5.9,-3.4
2019,3,22,00:00,UTC,3.9,-2.5
2019,3,23,00:00,UTC,4.5,-3.6
2019,3,24,00:00,UTC,4.1,0.5
2019,3,25,00:00,UTC,2.9,-6.1
2019,3,26,00:00,UTC,0.8,-8.6
2019,3,27,00:00,UTC,3.7,-10.8
2019,3,28,00:00,UTC,7.4,-5.7
2019,3,29,00:00,UTC,12,3.9
2019,3,30,00:00,UTC,7.5,1.6
2019,3,31,00:00,UTC,4.1,-3.5
2019,4,1,00:00,UTC,5.5,-4.2
2019,4,2,00:00,UTC,8.7,-2.2
2019,4,3,00:00,UTC,10,-4.2
2019,4,4,00:00,UTC,12.1,0.1
2019,4,5,00:00,UTC,6.6,-0.6
2019,4,6,00:00,UTC,12.5,-5
2019,4,7,00:00,UTC,11.8,-5.5
2019,4,8,00:00,UTC,6,0.4
2019,4,9,00:00,UTC,0.8,-2.4
2019,4,10,00:00,UTC,-1.1,-4.8
2019,4,11,00:00,UTC,0.6,-8.7
2019,4,12,00:00,UTC,5.2,-10.8
2019,4,13,00:00,UTC,5.5,-0.4
2019,4,14,00:00,UTC,5.6,-0.4
2019,4,15,00:00,UTC,8.6,-6.7
2019,4,16,00:00,UTC,13.9,-5
2019,4,17,00:00,UTC,14.7,-4.6
2019,4,18,00:00,UTC,16.5,-3.3
2019,4,19,00:00,UTC,11.5,2.1
2019,4,20,00:00,UTC,12.2,-3.5
2019,4,21,00:00,UTC,12.5,-3.3
2019,4,22,00:00,UTC,14.5,6.1
2019,4,23,00:00,UTC,19.1,4.3
2019,4,24,00:00,UTC,19.6,-0.6
2019,4,25,00:00,UTC,20.1,-1.9
2019,4,26,00:00,UTC,19.5,-1.5
2019,4,27,00:00,UTC,20,2.7
2019,4,28,00:00,UTC,10,-1.2
2019,4,29,00:00,UTC,14.4,-3.9
2019,4,30,00:00,UTC,16.7,2.1
2019,5,1,00:00,UTC,15.3,-0.4
2019,5,2,00:00,UTC,5,-0.9
2019,5,3,00:00,UTC,0.4,-3.1
2019,5,4,00:00,UTC,3.4,-1.9
2019,5,5,00:00,UTC,7.4,-1.1
2019,5,6,00:00,UTC,11.1,-1.6
2019,5,7,00:00,UTC,9.9,-4.1
2019,5,8,00:00,UTC,11.1,-0.5
2019,5,9,00:00,UTC,14.8,-2.7
2019,5,10,00:00,UTC,11.8,2.4
2019,5,11,00:00,UTC,12.8,8.2
2019,5,12,00:00,UTC,13,7.4
2019,5,13,00:00,UTC,10.8,4.2
2019,5,14,00:00,UTC,12.3,-0.9
2019,5,15,00:00,UTC,15.3,0
2019,5,16,00:00,UTC,18.3,-2.7
2019,5,17,00:00,UTC,20.7,4.7
2019,5,18,00:00,UTC,23.6,3.5
2019,5,19,00:00,UTC,24.7,4.8
2019,5,20,00:00,UTC,21,12
2019,5,21,00:00,UTC,23.9,12.6
2019,5,22,00:00,UTC,20.5,10.7
2019,5,23,00:00,UTC,14.3,5.8
2019,5,24,00:00,UTC,9.8,5.4
2019,5,25,00:00,UTC,11.3,6.1
2019,5,26,00:00,UTC,10.4,4.6
2019,5,27,00:00,UTC,14.2,5
2019,5,28,00:00,UTC,15.4,3.6
2019,5,29,00:00,UTC,17.4,10.3
2019,5,30,00:00,UTC,17,4.1
2019,5,31,00:00,UTC,13.8,6.7
2019,6,1,00:00,UTC,16.3,6.1
2019,6,2,00:00,UTC,16,7.7
2019,6,3,00:00,UTC,17.1,1.6
2019,6,4,00:00,UTC,23.3,11.3
2019,6,5,00:00,UTC,25.8,6.8
2019,6,6,00:00,UTC,29.5,12.8
2019,6,7,00:00,UTC,30.4,13.4
2019,6,8,00:00,UTC,30,15.3
2019,6,9,00:00,UTC,22,14.3
2019,6,10,00:00,UTC,18.9,12.4
2019,6,11,00:00,UTC,17.8,11.7
2019,6,12,00:00,UTC,15.5,3.1
2019,6,13,00:00,UTC,16.8,6.8
2019,6,14,00:00,UTC,17.3,11.9
2019,6,15,00:00,UTC,19.8,11.9
2019,6,16,00:00,UTC,24.3,8.3
2019,6,17,00:00,UTC,24.9,12.3
2019,6,18,00:00,UTC,25.9,11.2
2019,6,19,00:00,UTC,24.4,14
2019,6,20,00:00,UTC,25.5,9.1
2019,6,21,00:00,UTC,26.2,14.8
2019,6,22,00:00,UTC,23.2,11.4
2019,6,23,00:00,UTC,20.5,10
2019,6,24,00:00,UTC,19.9,6.7
2019,6,25,00:00,UTC,19,7.5
2019,6,26,00:00,UTC,18.1,9.2
2019,6,27,00:00,UTC,17.3,12
2019,6,28,00:00,UTC,18,7
2019,6,29,00:00,UTC,17.5,3.6
2019,6,30,00:00,UTC,19.8,9.8
2019,7,1,00:00,UTC,22.5,12.3
2019,7,2,00:00,UTC,19.7,7.3
2019,7,3,00:00,UTC,16.8,9.3
2019,7,4,00:00,UTC,18.8,8.1
