agecat;roaduserclass;sex;degree;number
1;10;M;3;53
2;10;M;3;37
3;10;M;3;19
10;10;M;3;44
5;10;M;3;34
6;10;M;3;31
7;10;M;3;24
7;10;M;3;36
1;10;F;3;21
2;10;F;3;19
3;10;F;3;8
10;10;F;3;31
5;10;F;3;26
6;10;F;3;23
7;10;F;3;8
7;10;F;3;11
1;2;M;3;5
2;2;M;3;15
3;2;M;3;10
10;2;M;3;16
5;2;M;3;15
6;2;M;3;12
7;2;M;3;6
7;2;M;3;4
5;2;F;3;3
6;2;F;3;2
3;4;M;3;2
10;4;M;3;7
5;4;M;3;9
6;4;M;3;10
7;4;M;3;1
2;4;M;3;1
3;4;M;3;8
10;4;M;3;17
5;4;M;3;14
6;4;M;3;14
7;4;M;3;4
3;4;M;3;1
5;4;M;3;5
6;4;M;3;3
7;4;M;3;3
7;4;M;3;1
5;4;F;3;2
1;6;M;3;8
2;6;M;3;9
3;6;M;3;8
10;6;M;3;15
5;6;M;3;11
6;6;M;3;5
7;6;M;3;1
7;6;M;3;2
10;6;F;3;1
6;6;F;3;1
1;10;M;2;2123
2;10;M;2;2005
3;10;M;2;1290
10;10;M;2;2803
5;10;M;2;2433
6;10;M;2;1737
7;10;M;2;974
7;10;M;2;882
1;10;F;2;1490
2;10;F;2;1664
3;10;F;2;1039
10;10;F;2;2449
5;10;F;2;2156
6;10;F;2;1308
7;10;F;2;555
7;10;F;2;445
1;2;M;2;212
2;2;M;2;329
3;2;M;2;260
10;2;M;2;627
5;2;M;2;479
6;2;M;2;322
7;2;M;2;137
7;2;M;2;51
1;2;F;2;24
2;2;F;2;25
3;2;F;2;20
10;2;F;2;64
5;2;F;2;64
6;2;F;2;24
7;2;F;2;10
7;2;F;2;4
1;4;M;2;7
2;4;M;2;45
3;4;M;2;32
10;4;M;2;144
5;4;M;2;143
6;4;M;2;98
7;4;M;2;27
7;4;M;2;2
6;4;F;2;1
2;4;M;2;26
3;4;M;2;50
10;4;M;2;182
5;4;M;2;166
6;4;M;2;116
7;4;M;2;28
7;4;M;2;2
6;4;F;2;1
1;4;M;2;2
2;4;M;2;11
3;4;M;2;20
10;4;M;2;51
5;4;M;2;83
6;4;M;2;95
7;4;M;2;49
7;4;M;2;6
2;4;F;2;2
3;4;F;2;2
10;4;F;2;13
5;4;F;2;15
6;4;F;2;6
7;4;F;2;1
1;6;M;2;217
2;6;M;2;304
3;6;M;2;229
10;6;M;2;497
5;6;M;2;318
6;6;M;2;172
7;6;M;2;43
7;6;M;2;7
1;6;F;2;16
2;6;F;2;26
3;6;F;2;21
10;6;F;2;42
5;6;F;2;31
6;6;F;2;10
7;6;F;2;3
7;6;F;2;2
1;10;M;1;4260
2;10;M;1;3719
3;10;M;1;2264
10;10;M;1;4505
5;10;M;1;3697
6;10;M;1;2609
7;10;M;1;1452
7;10;M;1;1215
1;10;F;1;2140
2;10;F;1;2226
3;10;F;1;1410
10;10;F;1;3308
5;10;F;1;2704
6;10;F;1;1638
7;10;F;1;759
7;10;F;1;606
1;2;M;1;325
2;2;M;1;493
3;2;M;1;357
10;2;M;1;906
5;2;M;1;656
6;2;M;1;473
7;2;M;1;197
7;2;M;1;51
1;2;F;1;22
2;2;F;1;44
3;2;F;1;34
10;2;F;1;90
5;2;F;1;68
6;2;F;1;33
7;2;F;1;16
7;2;F;1;5
1;4;M;1;8
2;4;M;1;60
3;4;M;1;75
10;4;M;1;227
5;4;M;1;213
6;4;M;1;147
7;4;M;1;48
7;4;M;1;4
10;4;F;1;3
1;4;M;1;1
2;4;M;1;25
3;4;M;1;56
10;4;M;1;213
5;4;M;1;212
6;4;M;1;159
7;4;M;1;32
3;4;F;1;1
10;4;F;1;2
5;4;F;1;1
1;4;M;1;3
2;4;M;1;17
3;4;M;1;19
10;4;M;1;60
5;4;M;1;92
6;4;M;1;82
7;4;M;1;33
7;4;M;1;8
2;4;F;1;1
3;4;F;1;2
10;4;F;1;9
5;4;F;1;6
6;4;F;1;8
7;4;F;1;2
1;6;M;1;15
2;6;M;1;36
3;6;M;1;26
10;6;M;1;56
5;6;M;1;26
6;6;M;1;11
7;6;M;1;4
1;6;F;1;2
2;6;F;1;2
3;6;F;1;1
10;6;F;1;3
5;6;F;1;3
