latitude,longitude,station
60.30373,25.54916,Porvoo_Kilpilahti_satama
60.12735,19.90038,Jomala_Maarianhamina_lentoasema
59.77909,21.37479,Parainen_Utö
59.95919,19.95367,Lemland_Nyhamn
60.17824,19.98686,Jomala_Jomalaby
60.30098,19.13142,Hammarland_Märket
59.50454,20.34748,Kökar_Bogskär
60.11163,21.69828,Parainen_Fagerholm
60.25823,20.74698,Kumlinge_kirkonkylä
59.77363,22.94868,Hanko_Russarö
60.3869,22.55183,Kaarina_Yltöinen
59.86949,22.19343,Kemiönsaari_Vänö
59.80861,22.91248,Hanko_Tulliniemi
60.37788,22.0964,Turku_Rajakari
60.45439,22.1787,Turku_Artukainen
60.17123,22.75768,Kemiönsaari_Kemiö
59.84383,23.24839,Hanko_Tvärminne
60.37392,23.11292,Salo_Kärkkä
59.82076,23.57309,Raasepori_Jussarö
60.46415,23.64976,Salo_Kiikala_lentokenttä
60.3267,24.95675,Vantaa_Helsinki-Vantaan_lentoasema
59.93114,24.01408,Inkoo_Bågaskär
60.17523,24.94459,Helsinki_Kaisaniemi
60.24446,24.04951,Lohja_Porla
60.41875,24.39862,Vihti_Maasoja
60.10512,24.97539,Helsinki_Harmaja
59.91982,24.35023,Kirkkonummi_Mäkiluoto
59.94898,24.92631,Helsinki_Helsingin_majakka
60.20307,24.96131,Helsinki_Kumpula
60.25299,25.04549,Helsinki_Malmi_lentokenttä
59.98568,25.59879,Porvoo_Kalbådagrund
60.20382,25.62546,Porvoo_Emäsalo
60.39172,25.6073,Porvoo_Harabacka
60.12455,25.22275,Sipoo_Eestiluoto
60.37538,26.95893,Kotka_Rankki
60.27476,26.44759,Loviisa_Orrengrund
60.28676,27.18482,Kotka_Haapasaari
61.46011,21.80839,Pori_lentoasema
60.7222,21.02681,Kustavi_Isokari
61.14475,21.30273,Rauma_Kylmäpihlaja
61.47893,21.7832,Pori_rautatieasema
60.51565,22.27916,Turku_lentoasema
61.25294,22.34613,Kokemäki_Tulkkila
60.81397,23.49825,Jokioinen_Ilmala
61.4194,23.62256,Pirkkala_Tampere-Pirkkala_lentoasema
61.46561,23.74678,Tampere_Härmälä
60.64668,23.80559,Somero_Salkola
60.59589,24.80297,Hyvinkää_Hyvinkäänkylä
60.50872,24.65375,Nurmijärvi_Röykkä
60.9992,24.49163,Hämeenlinna_Katinen
61.11454,24.32449,Hattula_Lepaa
61.05408,25.03844,Hämeenlinna_Lammi_Pappila
61.26521,25.52021,Asikkala_Pulkkilanharju
60.89839,26.94882,Kouvola_Utti_lentoasema
60.6965,26.81106,Kouvola_Anjala
61.20008,26.04967,Heinola_Asemantaus
60.89077,26.92915,Kouvola_Utti_Lentoportintie
60.5272,27.67274,Virolahti_Koivuniemi
61.0403,28.12916,Lappeenranta_lentoasema
61.03879,28.56395,Lappeenranta_Konnunsuo
61.05754,28.20873,Lappeenranta_Lepola
61.1982,28.47308,Lappeenranta_Hiekkapakka
61.44467,29.46108,Parikkala_Koitsanlahti
62.33382,21.19081,Kaskinen_Sälgrund
61.63042,21.3762,Pori_Tahkoluoto_satama
62.20324,21.16983,Kristiinankaupunki_Majakka
62.18329,22.79983,Karvia_Alkkia
62.41345,22.18372,Kauhajoki_Kuja-Kokko
61.83864,22.46368,Kankaanpää_Niinisalo_lentokenttä
62.32783,23.54228,Virrat_Äijänneva
61.51757,23.75388,Tampere_Siilinkari
61.85551,24.80459,Jämsä_Halli_lentoasema
61.84591,24.28696,Juupajoki_Hyytiälä
61.85959,24.81483,Jämsä_Halli_Lentoasemantie
62.39758,25.67087,Jyväskylä_lentoasema
61.70448,25.50529,Luhanka_Judinsalo
61.87942,26.09478,Joutsa_Savenaho
61.6886,27.20219,Mikkeli_lentoasema
61.8923,27.88528,Juva_Partala
62.32221,27.90785,Varkaus_Kosulanniemi
