document_id,titel,rm,doktyp,departement,utskott,dokdelar
h803173_383,Nya kapitaltäckningsregler för värdepappersbolag,2020/21,prop,Finansdepartementet,FiU,"är tillämpligt: a)Det totala värdet av värdepappersföretagets konsoliderade tillgångar uppgår till eller överstiger 15 miljarder EUR, beräknat på genomsnittet av de tolv föregående sammanhängande månaderna och utan att räkna med värdet av de enskilda tillgångarna hos dotterföretag som är etablerade utanför unionen och som bedriver någon av de verksamheter som avses i detta stycke. b)Det totala värdet av värdepappersföretagets konsoliderade tillgångar understiger 15 miljarder EUR och värdepappers­ företaget ingår i en koncern där det totala värdet av de konsoliderade tillgångarna i alla de företag i koncernen som har enskilda totala tillgångar på mindre än 15 miljarder EUR och som bedriver någon av de verksamheter som avses i avsnitt A punkterna 3 och 6 i bilaga I till direktiv 2014/65/EU uppgår till eller överstiger 15 miljarder EUR, allt beräknat på genomsnittet av de tolv föregående sammanhängande månaderna, exklusive värdet av de enskilda tillgångarna hos dotterföretag som är etablerade utanför unionen och som bedriver någon av de verksamheter som avses i detta stycke. c)Värdepappersföretaget är föremål för ett beslut av den behöriga myndigheten i enlighet med artikel 5 i direktiv (EU) 2019/2034. De värdepappersföretag som avses i denna punkt ska stå under tillsyn för kontroll av att de uppfyller tillsynskraven enligt avdelningarna VII och VIII i direktiv 2013/36/EU, inbegripet i syfte att utnämna den samordnande tillsynsmyndigheten i fall då sådana värdepappersföretag tillhör en värdepappersföretagskoncern enligt definitionen i artikel 4.1.25 i denna förordning. 3.Undantaget i punkt 2 är inte tillämpligt om ett värdepappersföretag inte längre uppfyller något av de tröskelvärden som fastställs i den punkten, beräknat över en sammanhängande tolvmånadersperiod, eller om en behörig myndighet beslutar det i enlighet med artikel 5 i direktiv (EU) 2019/2034. Värdepappersföretaget ska utan onödigt dröjsmål meddela den behöriga myndigheten om eventuella överskridanden av ett tröskelvärde under denna period. 4.Värdepappersföretag som uppfyller de villkor som fastställs i punkt 2 ska fortsätta att omfattas av kraven i artiklarna 55och 59. 5.Genom undantag från punkt 1 får behöriga myndigheter tillåta ett värdepappersföretag som är auktoriserat och står under tillsyn enligt direktiv 2014/65/EU och som bedriver någon av de verksamheter som avses i avsnitt A punkterna 3 och 6 i bilaga I till direktiv 2014/65/EU att tillämpa kraven i förordning (EU) nr 575/2013, om alla följande villkor är uppfyllda: a)Värdepappersföretaget är ett dotterföretag som omfattas av den gruppbaserade tillsynen av ett kreditinstitut, ett finansiellt holdingföretag"
h503160_219,"Ecuadors anslutning till frihandelsavtalet mellan Europeiska unionen och dess medlemsstater, å ena sidan, och Colombia och Peru, å andra sidan",2017/18,prop,Utrikesdepartementet,UU,"uteslutande av tobaksersättning 57,6 2403 10 10 Röktobak, även innehållande tobaksersättning, oavsett mängden, löst lig­ 74,9 gande i förpackningar med en nettovikt av 2403 10 90 Röktobak, även innehållande tobaksersättning, oavsett mängden, löst lig­ 74,9 gande i förpackningar med en nettovikt av > 500 g 2403 91 00 Tobak, homogeniserad eller rekonstituerad från fint skurna tobaksblad, to­ 16,6 baksavfall eller tobaksdamm Prop. 2017/18:160 Bilaga L 356/192 SV Europeiska unionens officiella tidning 24.12.2016 KN 2007 Beskrivning Bastullsats Kategori 2403 99 10 Tuggtobak och snus 41,6 2403 99 90 Tobak och tobaksersättning och varor härav, samt tobakspulver och to­ 16,6 baksextrakt och tobaksessenser (exkl. tuggtobak, snus, cigarrer, cigariller, cigarretter och röktobak, även innehållande tobaksersättning, homogenise­ rad eller rekonstituerad tobak, nikotin extraherat från tobaksplanta samt insekticider tillverkade från tobaksextrakt och tobaksessenser) 2501 00 10 Havsvatten och saltmoderlut Fritt 2501 00 31 Salt avsedda för kemisk omvandling (separation av Na från Cl) för fram­ Fritt ställning av andra produkter 2501 00 51 Denaturerat salt eller salt avsett för industriellt bruk, inkl. raffinering 1,7 EUR/1 000 kg/ (exkl. salt avsedda för kemisk omvandling eller konservering eller bered­ netto ning av födoämnen för människor eller djur) 2501 00 91 Salt lämpligt som människoföda, även med tillsats av klumpförebyggande 2,6 EUR/1 000 kg/ medel eller flytmedel netto 2501 00 99 Salt och ren natriumklorid, även i vattenlösning och även med tillsats av 2,6 EUR/1 000 kg/ klumpförebyggande medel eller flytmedel (exkl. bordssalt, salt avsett för netto kemisk omvandling [separation av Na från Cl], denaturerat salt och salt avsett för annat industriellt bruk) 2502 00 00 Svavelkis och andra naturliga järnsulfider, orostade Fritt 2503 00 10 Råsvavel och oraffinerat svavel (exkl. sublimerat svavel, fällt svavel och Fritt kolloidalt svavel) 2503 00 90 Svavel (exkl. sublimerat svavel, fällt svavel, kolloidalt svavel, råsvavel och oraffinerat svavel) 2504 10 00 Naturlig grafit i pulver eller flingor Fritt 2504 90 00 Naturlig grafit (exkl. i pulver eller flingor) Fritt 2505 10 00 Kvartssand, även färgad Fritt 2505 90 00 Naturlig sand av alla slag, även färgad (exkl. guld- och platinahaltig sand, Fritt zirkonsand, rutilsand, ilmenitsand, monazitsand, tjär- och asfaltsand samt kvartssand) 2506 10 00 Kvarts (exkl. naturlig sand) Fritt 2506 20 00 Kvartsit, även grovhuggen eller enkelt sönderdelad, genom sågning eller Fritt på annat sätt, till block eller plattor av kvadratisk eller rektangulär form Prop. 2017/18:160"
h8b338_131,Ökad trygghet för visselblåsare,2020,sou,,,"synsätt även i mål som rör andra rättsområden. Allmänintresse är ett centralt begrepp i reglering om skydd för visselblåsare Allmänintresset är något som tillmäts stor betydelse för vilka avslöjanden som skyddas enligt visselblåsarlagen och europarätten. Vid bedömningen av om rapportering av en viss typ av information ska skyddas ska, enligt förarbetena till visselblåsarlagen, hänsyn tas till graden av allmänintresse av att missförhållandet kommer fram och kan åtgärdas. Därmed avses både intresset av att uppgifterna offentliggörs och att missförhållandena kommer arbetsgivaren eller en myndighet till del och därmed kan komma att avhjälpas (prop. 2015/16:128 s. 43). Enligt Europadomstolens praxis om skyddet för yttrandefriheten är allmänintresset ett viktigt kriterium vid bedömningen av om en arbetstagare som har slagit larm skyddas av Europakonventionen. Allmänintresset anses av Europadomstolen vara stort när det gäller bl.a. vanvård, polisbrutalitet, politikers försök att påverka rättsutredningar, grym och oetisk djurhållning, oetiska anställningsförhållanSOU 2020:38 Skyddet för rapporterande personer den, skogsskövling samt utnyttjande av barn och deras föräldrar genom aggressiv marknadsföring av ohälsosam mat (prop. 2015/16:128 s. 36). Europarådets rekommendation om skydd för visselblåsare innebär att ett nationellt ramverk bör underlätta avslöjanden av allmänt intresse. Det är upp till medlemsstaterna att bestämma vad som ska anses ingå i begreppet allmänt intresse, men enligt rekommendationen bör tillämpningsområdet specificeras och inkludera åtminstone rapportering och avslöjanden av lagbrott, risker för enskildas hälsa och säkerhet, risker för miljön och kränkningar av de mänskliga rättigheterna. Missförhållanden som det finns ett allmänintresse av att de kommer fram bör skyddat kunna rapporteras Missförhållanden är ett begrepp som förekommer i svensk rätt inom områden som ligger nära det nu aktuella. Det fanns i 1990 års företagshemlighetslag och har även förts in i 2018 års företagshemlighetslag. Det används i visselblåsarlagen och även i regleringen om lex Sarah enligt socialtjänstlagen. Begreppet är alltså etablerat i svensk rätt. Till missförhållanden räknas enligt företagshemlighetslagen varje slags försummelse eller oegentlighet som förekommer i en verksamhet, oavsett om det gäller ett uppsåtligt eller oaktsamt agerande från verksamhetsutövarens sida eller om missförhållandet har sin grund i en omständighet som ingen särskild person kan lastas för, dvs. en ren olyckshändelse (prop. 2017/18:200 s. 149). Både direktivet och visselblåsarlagen har en viss tröskel när det gäller vad som skyddat kan rapporteras. Det som överstiger den nivån är något mer än vad som kan anses ligga i begreppet missförhållanden. Vi är tveksamma till"
hab362_76,EU:s vapendirektiv - genomförande av 2017 års ändringsdirektiv på miniminivå ,2022,sou,,,"utvidgas tillämpningsområdet så att deaktiverade skjutvapen i kategori A eller B inte längre undantas. Motiven för det framgår av skäl 29 till det konsoliderade vapendirektivet. Där uttalas att det finns stor risk för att skjutvapen som inte har deaktiverats på rätt sätt reaktiveras och att sådana skjutvapen (dvs. deaktiverade skjutvapen) bör omfattas av direktivet i syfte att höja säkerhetsnivån i hela unionen. Genom ändringsdirektivet införs en definition av deaktiverade skjutvapen. I artikel 1.1.6 i det konsoliderade vapendirektivet anges att med deaktiverade skjutvapen avses skjutvapen som har gjorts definitivt obrukbara genom åtgärder som medför att det berörda skjutvapnets samtliga väsentliga delar gjorts definitivt oanvändbara och SOU 2022:62 Bestämmelser som inte kräver författningsändringar omöjliga att avlägsna, ersätta eller ändra på ett sätt som skulle möjliggöra någon form av reaktivering av vapnet. Sådana skjutvapen som har tillhört kategori A eller B och som har deaktiverats i enlighet med regelverket i genomförandeförordning (EU) 2015/2403 hänförs numera till vapen i kategori C. Det framgår av bilaga I till direktivet, del II, punkten 6 under kategori C. Till skillnad från tidigare omfattas alltså sådana vapen numera av direktivets tillämpningsområde. I artikel 15.1 i det konsoliderade vapendirektivet, som infördes genom ändringsdirektivet, anges att medlemsstaterna ska låta en behörig myndighet kontrollera åtgärderna för deaktivering av skjutvapen för att säkerställa att ändringarna av ett skjutvapen gör alla dess väsentliga delar definitivt funktionsodugliga och omöjliga att avlägsna, ersätta eller ändra på ett sätt som skulle tillåta någon form av reaktivering av skjutvapnet. Vidare anges att medlemsstaterna ska föreskriva att det i samband med den kontrollen utfärdas ett intyg eller annan handling av vilken det framgår att skjutvapnet har deaktiverats och att vapnet förses med en väl synlig märkning i det syftet. I 1991 års vapendirektiv fanns det bestämmelser om kontroll av obrukbara vapen redan innan ändringsdirektivet trädde i kraft (se direktivets bilaga I, del III, andra stycket i lydelsen enligt 2008 års ändringsdirektiv). Bestämmelserna skärps genom 2017 års ändringsdirektiv. I artikel 15.1 i det konsoliderade vapendirektivet föreskrivs nu att kontrollen ska omfatta skjutvapnets alla väsentliga delar. Vi- dare föreskrivs att det ska krävas både att ett intyg eller annan handling utfärdas och att vapnet märks. Tidigare gavs medlemsstaterna möjlighet att välja mellan att kräva att intyg utfärdades eller att vapnet märktes Andra rättsakter protokollet mot olaglig tillverkning av och handel med skjutvapen, delar av"
h4b33_288,Höghastighetsjärnvägens &#64257;nansiering och kommersiella förutsättningar,2016,sou,,,"mot det framräknade värdet för t.ex. regionaltåg SOU 2016:3 ilaga 5 8.3.3Auktion Användandet av betalningsvilja för att avgöra vem som ska få prioritet är alltså någonting som förespråkas av CTS för den kommersiella persontrafiken. Såvitt känt har auktioner hittills inte använts i någon av EU:s medlemsstater och någon modell för hur det praktiskt ska gå till har inte redovisats. Huruvida auktioner är ett effektivt och ändamålsenligt sätt att prioritera trafik och huruvida detta skulle resultera i att höghastighetstågen skulle få prioritet ligger utanför området för denna promemoria. Angående styrning av trafiken med hjälp av banavgifter, se nedan avsnitt 10.5. 8.3.4Samhällsekonomisk effektivitet Formuleringen i 6 kap. 3 § första stycket järnvägslagen att prioriteringskriterierna ska medföra ett ”samhällsekonomiskt effektivt” utnyttjande av infrastrukturen återfinns inte i EU-direktiven. Enligt det bakomliggande SERA-direktivet ska tilldelningen ske på ett rättvist och ickediskriminerande sätt och fördelning får ske med hjälp av prioriteringskriterier eller extra avgift. Enligt artikel 47 i SERA-direktivet ska i prioriteringskriterierna hänsyn tas till tjänstens betydelse för samhället i förhållande till varje annan tjänst som följaktligen inte kommer att tilldelas kapacitet. För att säkerställa utvecklingen av adekvata transporttjänster, i synnerhet allmännyttiga tjänster och internationella godstransporter, får medlemsstaterna vidta nödvändiga åtgärder för att prioritera sådana tjänster. Det påpekas särskilt att betydelsen av godstransporttjänster, i synnerhet internationella, ska beaktas i tillräcklig grad. Någon ändring av kapacitetstilldelningsreglerna är inte åsyftad i fjärde järnvägspaketet. Innan frågan om hur stort det nationella utrymmet för att reglera prioriteringskriterier är bör det – om möjligt – utrönas vilken betydelse kravet i järnvägslagen på samhällsekonomisk effektivitet har. Betydelsen av begreppet samhällsekonomiskt effektivt kan inte fastslås entydigt och betydelsen skiftar beroende på vem man frågar och vilket perspektiv som anläggs. Det innebär trots detta vissa ramar, upplevda eller faktiska, för Trafikverket och andra infrastrukturförvaltare Bilaga 5 OU 2016:3 En utgångspunkt för samhällsekonomiska kalkyler kan sägas vara att inget alternativ kan ”i förväg” antas vara det bästa alternativet. Redan detta skulle i så fall i sig mot strida SERA-direktivets och järnvägslagens utgångspunkt att de sökandes önskemål, om de kan tillgodoses, per automatik är det bästa alternativet. Att en infrastrukturförvaltare som förvaltar en konventionell bana, enligt handlingsregeln att prioriteringskriterierna vid varje tillfälle ska leda till samhällsekonomisk effektivitet alltid skulle prioritera höghastighetståg, är på intet sätt självklart. Kravet på samhällsekonomisk effektivetet är ofta inte till någon ledning för prioriteringskriterier, åtminstone inte"
h4b373_176,Begränsningar i föräldrapenningen för föräldrar som kommer till Sverige med barn,2016,sou,,,"av föräldrapenning till när barnet är yngre samt hur den nyligen introducerade tredje reserverade månaden kommer att förändra uttagsmönstret. Utredningen bedömer dock att det över tid är relativt stabila mönster för uttaget och har även anpassat nivåerna till mer lättanvända gränser om 200 respektive 100 dagar. Utredningen föreslår därför att om ett barn blir bosatt här i landet under barnets andra levnadsår bör föräldrapenning lämnas under högst 200 dagar sammanlagt för föräldrarna. Vid flerbarnsfödsel bör föräldrapenning lämnas under ytterligare högst 76 dagar 13 Se t.ex. prop. 2013/14:4 Överväganden och förslag OU 2016:73 för varje barn utöver det första. Om barnet i stället blir bosatt här i landet efter det andra levnadsåret bör föräldrapenning lämnas under högst 100 dagar sammanlagt för föräldrarna. Vid flerbarnsfödsel bör föräldrapenning lämnas under ytterligare högst 38 dagar för varje barn utöver det första. Genom att begränsningen ges denna utformning kommer de barn som omfattas av begränsningsregeln att ha i stort sett lika stor möjlighet att få tillgång till föräldralediga föräldrar som de barn som omfattas av rätten till föräldrapenning från födelsen. Som utvecklas mer i avsnitt 6.2.4 (särskilt om barnets bästa) likabehandlas barn som omfattas av begränsningsregeln härigenom i högre utsträckning med de barn som inte omfattas av regeln jämfört med om begränsningen hade varit mer omfattande. För de föräldrar som kommer till Sverige med flera barn kan föräldraledigheten, trots en genomförd begränsning, teoretiskt sett ändå bli lång, då rätten till föräldrapenning är knuten till respektive barn som kommer till Sverige och till barnets ålder. Möjligheterna till längre uttag minskar dock kraftigt jämfört med den situation som råder i dag. Att ledigheten med föräldrapenning kan komma att bli lång när föräldrarna har flera barn, särskilt om tiden mellan födslarna är kort, är något som gäller för alla föräldrar. Utredningen bedömer att det inte är lämpligt att frångå utgångspunkten att rätten till föräldrapenning ges för respektive barn. En annan ordning skulle frångå en viktig grundprincip, nämligen att det är födelsen eller adoptionen av ett barn som ger rätt till ersättning och ledighet och att föräldern har rätt till ersättning enbart när det specifika barnet vårdas. En alternativ ordning skulle kunna vara att rätten till föräldrapenning knöts till barnen gemensamt och att barn som kommer till Sverige, oavsett individuell ålder, hanteras som vid en flerbarnsfödsel. Vid flerbarnsfödsel förutsätts dock de små barnen"
h4039_121,Konkurrensskadelag,2016/17,prop,Näringsdepartementet,NU,"före ikraftträdandet. Det krävs inte några övergångsbestämmelser om detta. Promemorians förslag och bedömning: Överensstämmer med regeringens förslag och bedömning med undantag för att det i promemorians förslag anges att äldre processrättsliga bestämmelser ska tillämpas på en skadeståndstalan som väckts före ikraftträdandet. Förslag och bedömning i kompletterande promemoria: Överensstämmer i sak med regeringens förslag och bedömning. Remissinstanserna: En majoritet av remissinstanserna tillstyrker eller lämnar inga synpunkter på förslaget och bedömningen i den kompletterande promemorian. Sveriges advokatsamfund anger att det ur ett rättssäkerhetsperspektiv bör göras tydligt vilka bestämmelser som kan tillämpas på ett skadefall. Promemorian innehåller heller inte någon närmare beskrivning av när i tiden ett skadefall ska anses ha skett. Det är heller inte utrett vilka bestämmelser som blir tillämpliga när skadefallet inte skett vid ett isolerat tillfälle, utan skett under en längre tid, både före och efter den föreslagna lagens ikraftträdande. Skälen för regeringens förslag och bedömning: I artikel 21 anges att medlemsstaterna ska sätta i kraft de lagar och andra författningar som är nödvändiga för att följa direktivet senast den 27 december 2016. De nya bestämmelserna bör därför träda i kraft den dagen. Av artikel 22.1 följer att de bestämmelser som antas i syfte att följa de materiella bestämmelserna i direktivet inte ska tillämpas retroaktivt. En utgångspunkt i svensk rätt när det gäller förmögenhetsrättslig lagstiftning är att den inte får vara retroaktiv. Det betyder att de materiella bestämmelser i direktivet som genomförs i svensk rätt ska tillämpas på fordringar på skadestånd som uppkommit efter ikraftträdandet. Detta följer av allmänna rättsgrundsatser och behöver inte regleras i särskilda övergångsbestämmelser (jfr prop. 1972:5 s. 593). För en överträdelse som pågår när den nya lagen träder i kraft tillämpas alltså äldre regler för Prop. 2016/17:9 fordringar som uppkommit före ikraftträdandet och nya regler för fordringar som uppkommit efter ikraftträdandet. I artikel 22.2 sägs att de nationella bestämmelser som antas i enlighet med artikel 21, utöver de bestämmelser som avses i punkt 1, inte ska tillämpas på skadeståndstalan som väckts vid en nationell domstol före den 26 december 2014. Vilka bestämmelser som avses i punkt 1 och vilka som omfattas av punkt 2 anges inte i direktivet. Bestämmelser som antas i syfte att följa de materiella bestämmelserna i direktivet rör de frågor som behandlas i artikel 3 om rätten till full ersättning, artikel 10 om preskriptionsfrister, artikel 11"
h403136_65,Vissa frågor om kommersiell radio,2016/17,prop,Kulturdepartementet,KU,"(SAMI) och Ifpi Sverige. Ett spontant remissvar har inkommit från NORDICOM. Prop. 2016/17:136 Bilaga 4 Lagrådets yttrande Utdrag ur protokoll vid sammanträde 2017-02-08 Närvarande: F.d. justitieråden Lennart Hamberg och Olle Stenman samt justitierådet Svante O. Johansson Vissa frågor om kommersiell radio nligt en lagrådsremiss den 2 februari 2017 har regeringen (Kulturdepartementet) beslutat inhämta Lagrådets yttrande över förslag till lag om ändring i radio- och tvlagen (2010:696). Förslaget har inför Lagrådet föredragits av ämnesrådet Mattias Thalén, biträdd av departementssekreteraren Linus Fredriksson. Lagrådet lämnar förslaget utan erinran Kulturdepartementet tdrag ur protokoll vid regeringssammanträde den 16 mars 2017 Närvarande: statsminister Löfven, ordförande, och statsråden Lövin, Y Johansson, M Johansson, Baylan, Bucht, Hultqvist, Andersson, Hellmark Knutsson, Ygeman, A Johansson, Bolund, Bah Kuhnke, Strandhäll, Shekarabi, Fridolin, Wikström, Eriksson, Linde, Skog, Ekström Föredragande: statsrådet Bah Kuhnke Regeringen beslutar proposition Vissa frågor om kommersiell radio Prop. 2016/17:136 55"
h60312_19,Utökade möjligheter för Skatteverket att bekämpa brott,2018/19,prop,Finansdepartementet,SkU,"brottskatalogen ska falla mellan stolarna bedöms också vara liten. Möjligheten att de aktuella brotten förhindras eller upptäcks bör snarare öka om det finns ytterligare en brottsbekämpande myndighet som får rätt att arbeta mot sådan brottslighet. Regeringen bedömer därför att de risker som kan vara förenade med att ha ett delat ansvar för de aktuella brotten mer än väl uppvägs av vinsterna med att Skatteverket får ett utökat ansvar Beredningskravet är uppfyllt venskt Näringsliv, Näringslivets Regelnämnd och Företagarna menar att beredningskravet inte är uppfyllt. Svenskt Näringsliv anser att det är anmärkningsvärt att Svenskt Näringsliv inte har upptagits bland remissinstanserna med tanke på de potentiellt stora konsekvenser för skattskyldiga som ett genomförande av promemorians förslag kan få. Näringslivets Regelnämnd anför att remisslistan är mycket begränsad, där advokatsamfundet är den enda organisationen med företagsmedlemmar bland remissinstanserna trots att det föreslås att Skatteverkets möjligheter att på eget initiativ bedriva brottsbekämpande verksamhet gentemot bland andra företag utökas, vilket måste betraktas som i högsta grad ingripande. Näringslivets Regelnämnd anser att företagens organisationer inte har fått den nödvändiga möjligheten att ta ställning till de förslag som läggs fram, varför förslaget måste underkastas ett ordentligt remissförfarande innan regeringen går vidare med ärendet. Företagarna anser även att promemorian är behäftad med sådana brister vad avser bl.a. beredningsprocessen och konsekvensanalys att den inte kan ligga till grund för lagstiftning. Promemorians konsekvensanalys anses vara knapphändig och allmänt hållen avseende företag och företagsföreträdare. Regeringen konstaterar inledningsvis att förslaget om utvidgad brottskatalog är generellt och berör både privatpersoner och företagare. Förslaget handlar vidare i grunden om hur statens brottsbekämpning ska vara organiserad och bedrivas i fråga om en av dess brottsbekämpande myndigheter för att vara välfungerande och effektiv. Promemorian har skickats ut till en förhållandevis bred krets av remissinstanser, däribland Sveriges advokatsamfund, och remisstiden har uppgått till brukliga tre månader. Samtliga remissinstanser har inkommit med remissyttranden och flera av de mest berörda remissinstanserna har lämnat välmotiverade sådana. Mot den bakgrunden bedöms regeringsformens beredningskrav vara uppfyllt i denna del. När det gäller de kritiska synpunkterna i fråga om promemorians konsekvensanalys anser regeringen att promemorian inte har sådana brister att beredningskravet på denna grund inte skulle vara uppfyllt. Dessutom har det i denna proposition gjorts vissa kompletteringar i konsekvensanalysen bl.a. för att tydliggöra i vilken mån förslaget påverkar företagens administrativa börda. Så som främst Svea hovrätt har efterfrågat har"
h5b384_192,Uppehållstillstånd på grund av praktiska verkställighetshinder och preskription,2017,sou,,,"exempelvis följande sätt: Migrationsverket har dessutom drygt tre år efter att beslutet vann laga kraft ex officio beviljat ett tillfälligt uppehållstillstånd på grund av verkställighetsproblematik i förhållande till Irak.13 Vilka omständigheter lyfts fram i domarna till stöd för slutsatsen att uppehållstillstånd inte ska beviljas trots preskriptionen (avslagsdomarna)? I vårt material ingår 28 domar (68 procent) där migrationsdomstolarna gör bedömningen att det finns skäl att göra avsteg från huvudregeln/presumtionen och inte bevilja uppehållstillstånd trots 13 Migrationsdomstolen i Göteborg, UM 674-08 SOU 2017:84 ppehållstillstånd som en följd av preskription att det tidigare avlägsnandebeslutet har preskriberats. I dessa domar anses den enskilde på olika sätt ha ett ansvar för att beslutet inte har kunnat verkställas. Den klart vanligaste omständigheten i en enskilds agerande som lyfts fram av migrationsdomstolarna till intäkt för att preskriptionen inte har inträtt utan dennes förskyllan är att vederbörande hållit sig undan svenska myndigheter (se figur 6.6). Ett sådant undanhållande kan ha uppdagats exempelvis genom att den enskilde inte infunnit sig vid möten som hen kallats till och därefter inte kunnat påträffas eller att hen avvikit i samband med en planerad verkställighetsresa. I flertalet av dessa 14 domar har den enskilde bedömts ha hållit sig gömd i längre perioder och därmed orsakat preskriptionen av avlägsnandebeslutet. Bland dessa fall finns exempel på hur migrationsdomstolen efter en kortfattad redovisning av sina skäl härför, relativt enkelt kommer till slutsatsen att avsteg från huvudregeln om uppehållstillstånd bör göras: Domstolen konstaterar i likhet med Migrationsverket att klaganden efter att beslutet att utvisa honom hade vunnit laga kraft den 13 juni 2002 har hållit sig undan verkställighet. Mot denna bakgrund bedömer domstolen att det finns skäl att meddela ett nytt utvisningsbeslut, om det inte framkommer sådana omständigheter som utgör grund för att bevilja uppehållstillstånd.14 Samtidigt finns exempel på hur undanhållandet tillsammans med också andra aspekter i den enskildes agerande ges avgörande betydelse: [NN] har vistats i Sverige i mer än fem år, men drygt två av dessa har utgjort illegal vistelsetid. Därtill kommer att han hållit sig undan tidigare verkställighet och uppträtt under falsk identitet. Mot denna bakgrund anser migrationsdomstolen att det föreligger skäl att frångå huvudregeln om att bevilja uppehållstillstånd på grund av att det tidigare beslutet om avvisning upphört att gälla.15 14Migrationsdomstolen i Stockholm, UM 8547-07. 15Migrationsdomstolen i Malmö, UM 484-08 Uppehållstillstånd som en följd av preskription OU"
